path	parent	name	extension	category	kind	sizeBytes	size	route	status	detail	modifiedAt
_non_suno/01j35mpzj1jqkpzaf0caqzhdat.drums.mp3	_non_suno	01j35mpzj1jqkpzaf0caqzhdat.drums.mp3	mp3	other	audio	717015	700.2 KB	NULL	tracked-local	Workspace file.	2024-07-19T14:03:09.510Z
_non_suno/01j35mpzj1jqkpzaf0caqzhdat.instrumentals.mp3	_non_suno	01j35mpzj1jqkpzaf0caqzhdat.instrumentals.mp3	mp3	other	audio	615791	601.4 KB	NULL	tracked-local	Workspace file.	2024-07-19T14:03:06.110Z
_non_suno/1st 8 minute.mp3	_non_suno	1st 8 minute.mp3	mp3	other	audio	11158692	10.6 MB	NULL	tracked-local	Workspace file.	2025-10-24T09:51:58.190Z
_non_suno/2nd.mp3	_non_suno	2nd.mp3	mp3	other	audio	43231059	41.2 MB	NULL	tracked-local	Workspace file.	2025-10-24T10:28:20.230Z
_non_suno/AUD-20190710-WA0006.mp3	_non_suno	AUD-20190710-WA0006.mp3	mp3	other	audio	6981925	6.66 MB	NULL	tracked-local	Workspace file.	2025-06-16T10:22:30.920Z
_non_suno/AUD-20250324-WA0004.mp3	_non_suno	AUD-20250324-WA0004.mp3	mp3	other	audio	4610085	4.40 MB	NULL	tracked-local	Workspace file.	2026-04-29T06:23:34.870Z
_non_suno/Audio.mp3	_non_suno	Audio.mp3	mp3	other	audio	6817005	6.50 MB	NULL	tracked-local	Workspace file.	2024-07-18T15:28:43.620Z
_non_suno/Céline Dion - My Heart Will Go On (Official 25th Anniversary Alternate Music Video) (1).mp3	_non_suno	Céline Dion - My Heart Will Go On (Official 25th Anniversary Alternate Music Video) (1).mp3	mp3	other	audio	6733485	6.42 MB	NULL	tracked-local	Workspace file.	2024-07-18T16:09:49.030Z
_non_suno/Céline Dion - My Heart Will Go On (Official 25th Anniversary Alternate Music Video) [music].mp3	_non_suno	Céline Dion - My Heart Will Go On (Official 25th Anniversary Alternate Music Video) [music].mp3	mp3	other	audio	8442039	8.05 MB	NULL	tracked-local	Workspace file.	2024-07-18T15:52:26.250Z
_non_suno/Céline Dion - My Heart Will Go On (Official 25th Anniversary Alternate Music Video) [vocals].mp3	_non_suno	Céline Dion - My Heart Will Go On (Official 25th Anniversary Alternate Music Video) [vocals].mp3	mp3	other	audio	7817222	7.46 MB	NULL	tracked-local	Workspace file.	2024-07-18T15:52:33.340Z
_non_suno/Céline Dion - My Heart Will Go On (Official 25th Anniversary Alternate Music Video).mp3	_non_suno	Céline Dion - My Heart Will Go On (Official 25th Anniversary Alternate Music Video).mp3	mp3	other	audio	6733485	6.42 MB	NULL	tracked-local	Workspace file.	2024-07-18T15:46:56.000Z
