stationSlug	stationName	programId	title	sequenceIndex	estimatedStartOffsetSeconds	durationSeconds	audioUrl	streamUrl	rightsStatus	releaseAllowed
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-2bfbe15e-ac6a-487e-94bd-f535bdbe9f7a	हनु मूड खाने	1	0	161	/radio-html/assets/audio/2bfbe15e-ac6a-487e-94bd-f535bdbe9f7a.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-75291d2d-784d-46f7-8c5a-774e99eb3e3e	हनु मूड खाने	2	161	181	/radio-html/assets/audio/75291d2d-784d-46f7-8c5a-774e99eb3e3e.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-01e30f52-01cf-403d-af40-041dac751bd0	स्वरभानु माँ सिखाए	3	342	180	/radio-html/assets/audio/01e30f52-01cf-403d-af40-041dac751bd0.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-4ddbdc9c-240c-4e5d-8b50-ee61576d136e	स्वरभानु माँ सिखाए	4	522	184	/radio-html/assets/audio/4ddbdc9c-240c-4e5d-8b50-ee61576d136e.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-1bb556f0-a4fb-4994-9096-3ab4f66de0b8	हनुमान-अनुमान छट	5	706	245	/radio-html/assets/audio/1bb556f0-a4fb-4994-9096-3ab4f66de0b8.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-d5f6d9bc-5c76-48d6-859d-957ef84f79b3	हनुमान-अनुमान छट	6	951	237	/radio-html/assets/audio/d5f6d9bc-5c76-48d6-859d-957ef84f79b3.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-ada89c81-d8fa-4ec0-9938-d9435397b7cd	३३-डिजिट नियॉन	7	1188	198	/radio-html/assets/audio/ada89c81-d8fa-4ec0-9938-d9435397b7cd.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-0691bbaf-1f16-453a-9c00-0eecd71d1e14	३३-डिजिट नियॉन	8	1386	194	/radio-html/assets/audio/0691bbaf-1f16-453a-9c00-0eecd71d1e14.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-a24721b3-51c9-48b8-997b-0aab5ae3f158	ह्-हनु अनुमान	9	1580	33	/radio-html/assets/audio/a24721b3-51c9-48b8-997b-0aab5ae3f158.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-39c60af7-873d-464c-ab83-86a116aa3a19	ह्-हनु अनुमान	10	1613	22	/radio-html/assets/audio/39c60af7-873d-464c-ab83-86a116aa3a19.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-31cd60d6-6b7d-4e15-9847-9c3866d60440	चक्र-इंजन शंखनाद	11	1635	217	/radio-html/assets/audio/31cd60d6-6b7d-4e15-9847-9c3866d60440.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-83db2f7e-ae48-418d-9587-c807af8e24e3	चक्र-इंजन शंखनाद	12	1852	188	/radio-html/assets/audio/83db2f7e-ae48-418d-9587-c807af8e24e3.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-d85bffd9-6420-4844-bef4-34a1ed0cfffd	काली कलम	13	2040	359	/radio-html/assets/audio/d85bffd9-6420-4844-bef4-34a1ed0cfffd.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-2cba3a04-39a7-4cb7-8c74-33800f3a25d7	काली कलम	14	2399	328	/radio-html/assets/audio/2cba3a04-39a7-4cb7-8c74-33800f3a25d7.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-3c08a390-57b0-4deb-b710-ffd81cd63cec	Ka Kau Question	15	2727	337	/radio-html/assets/audio/3c08a390-57b0-4deb-b710-ffd81cd63cec.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-c086c759-c522-42a2-9718-bf85eb3d3dc7	Ka Kau Question	16	3064	347	/radio-html/assets/audio/c086c759-c522-42a2-9718-bf85eb3d3dc7.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-61a1c2e8-6e9b-4636-b976-9c0a3c82cc60	राजधर्म चक्र	17	3411	213	/radio-html/assets/audio/61a1c2e8-6e9b-4636-b976-9c0a3c82cc60.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-2ed5e119-5a3e-4f8f-9802-0b0a921375b4	राजधर्म चक्र	18	3624	227	/radio-html/assets/audio/2ed5e119-5a3e-4f8f-9802-0b0a921375b4.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-5791e93b-a997-4765-b8d1-c0fcbb88c384	संप्रभुता का डंका	19	3851	258	/radio-html/assets/audio/5791e93b-a997-4765-b8d1-c0fcbb88c384.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-f9f70b24-e62f-40a2-b42f-f3a0ba272777	संप्रभुता का डंका	20	4109	233	/radio-html/assets/audio/f9f70b24-e62f-40a2-b42f-f3a0ba272777.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-c7fabad5-bd6d-4a60-b985-ad0aae6819c3	चणक्य चांदी	21	4342	220	/radio-html/assets/audio/c7fabad5-bd6d-4a60-b985-ad0aae6819c3.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-fc641c78-b723-4744-a9f0-93ca40542e4f	चणक्य चांदी	22	4562	226	/radio-html/assets/audio/fc641c78-b723-4744-a9f0-93ca40542e4f.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-2b968ed3-b8ee-44e4-ad96-e3da7d583ae0	डिजिटल गुरुकुल	23	4788	233	/radio-html/assets/audio/2b968ed3-b8ee-44e4-ad96-e3da7d583ae0.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-da33361a-8617-4815-b444-dd6d95f00bca	डिजिटल गुरुकुल	24	5021	219	/radio-html/assets/audio/da33361a-8617-4815-b444-dd6d95f00bca.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-f31751f4-ec55-4c42-a423-07f42895a464	लिटमस परिपथ	25	5240	125	/radio-html/assets/audio/f31751f4-ec55-4c42-a423-07f42895a464.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-05bb41b7-0a36-4c99-a245-d5d727f902c3	लिटमस परिपथ	26	5365	92	/radio-html/assets/audio/05bb41b7-0a36-4c99-a245-d5d727f902c3.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-cc265065-cce9-480d-8e32-6f6530047d9b	Shankhnaad Cowbell Drop	27	5457	201	/radio-html/assets/audio/cc265065-cce9-480d-8e32-6f6530047d9b.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-28ed327a-4860-4957-a494-fcd59d36bcd9	Shankhnaad Cowbell Drop	28	5658	174	/radio-html/assets/audio/28ed327a-4860-4957-a494-fcd59d36bcd9.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-e038f00c-f649-44ca-8cc5-f2110a995703	कोष्ठक शंखनाद	29	5832	69	/radio-html/assets/audio/e038f00c-f649-44ca-8cc5-f2110a995703.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-bc9e8406-4ced-4d22-a476-896c9d6b31e3	कोष्ठक शंखनाद	30	5901	186	/radio-html/assets/audio/bc9e8406-4ced-4d22-a476-896c9d6b31e3.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-ee8190df-8ed5-4fd2-b83e-f6908dad6089	तेईस दशमलव पाँच	31	6087	295	/radio-html/assets/audio/ee8190df-8ed5-4fd2-b83e-f6908dad6089.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-5430725d-e817-463d-8233-7d08e6bb2a8c	तेईस दशमलव पाँच	32	6382	322	/radio-html/assets/audio/5430725d-e817-463d-8233-7d08e6bb2a8c.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-7136ecc0-1cde-4b63-93df-1bd8100300b5	शंखनाद बाइनरी	33	6704	216	/radio-html/assets/audio/7136ecc0-1cde-4b63-93df-1bd8100300b5.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-7ad70850-e3ae-4d26-b0e9-05197e2cb4f9	शंखनाद बाइनरी	34	6920	197	/radio-html/assets/audio/7ad70850-e3ae-4d26-b0e9-05197e2cb4f9.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-f6051273-d0f3-41f7-b3fe-3b657023d007	पिंगल-बाइनरी ट्राम	35	7117	226	/radio-html/assets/audio/f6051273-d0f3-41f7-b3fe-3b657023d007.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-ccd4fdeb-6879-4797-ae1f-f37fe6330b64	पिंगल-बाइनरी ट्राम	36	7343	207	/radio-html/assets/audio/ccd4fdeb-6879-4797-ae1f-f37fe6330b64.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-289f8c8d-4172-4b06-aa7f-5a73fd559b01	कोर लॉग्स लाइव	37	7550	257	/radio-html/assets/audio/289f8c8d-4172-4b06-aa7f-5a73fd559b01.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-ac3bbd7c-13ce-4c58-8852-a3ba11cf9d62	कोर लॉग्स लाइव	38	7807	217	/radio-html/assets/audio/ac3bbd7c-13ce-4c58-8852-a3ba11cf9d62.mp3	NULL	NULL	false
sanatan-devotional	Sanatan & Devotional	sanatan-devotional-04511a31-131b-44c4-a3a6-d3daa32e8026	बम बाबा बम भोला	39	8024	205	/radio-html/assets/audio/04511a31-131b-44c4-a3a6-d3daa32e8026.mp3	NULL	NULL	false
