chapterId	chapterTitle	trackId	title	language	station	theme	coverStatus	lyricsStatus	lyricLineCount	primaryLyricsSource
sanaatana-vedic-frequency	Sanaatana Vedic Frequency	30e92ffe-423f-48cf-9e93-5fd9bb7113c1	विज़ुअल: अंतरिक्ष में तैरते हुए ३३-डिजिट संख्या	Sanskrit	sanaatana-vaigyaniq	Sanatan & Vedic	cover-local	lyrics-ready	30	_radio_index/suno_backup/lyrics/2026-05-24_30e92ffe_छत-छट ताल.txt
sanaatana-vedic-frequency	Sanaatana Vedic Frequency	d5f6d9bc-5c76-48d6-859d-957ef84f79b3	हनुमान-अनुमान छट	Sanskrit	sanaatana-vaigyaniq	Sanatan & Vedic	cover-local	lyrics-ready	28	_radio_index/suno_backup/lyrics/2026-05-24_d5f6d9bc_हनुमान-अनुमान छट.txt
sanaatana-vedic-frequency	Sanaatana Vedic Frequency	1bb556f0-a4fb-4994-9096-3ab4f66de0b8	विज़ुअल: अंतरिक्ष में घूमते सूर्य और ग्रहों के ब	Sanskrit	sanaatana-vaigyaniq	Sanatan & Vedic	cover-local	lyrics-ready	28	_radio_index/suno_backup/lyrics/2026-05-24_1bb556f0_हनुमान-अनुमान छट.txt
sanaatana-vedic-frequency	Sanaatana Vedic Frequency	ada89c81-d8fa-4ec0-9938-d9435397b7cd	हा... हू... हौ... हन्... हनु... हनु... हनु... मा	Sanskrit	sanaatana-vaigyaniq	Sanatan & Vedic	cover-local	lyrics-ready	29	_radio_index/suno_backup/lyrics/2026-05-24_ada89c81_३३-डिजिट नियॉन.txt
sanaatana-vedic-frequency	Sanaatana Vedic Frequency	0691bbaf-1f16-453a-9c00-0eecd71d1e14	३३-डिजिट नियॉन	Sanskrit	sanaatana-vaigyaniq	Sanatan & Vedic	cover-local	lyrics-ready	29	_radio_index/suno_backup/lyrics/2026-05-24_0691bbaf_३३-डिजिट नियॉन.txt
sanaatana-vedic-frequency	Sanaatana Vedic Frequency	bcb08d50-076e-4408-ae04-389701191ee3	Vocals : "हा... हू... हौ... हन्... हनु... हनु...	English	sanaatana-vaigyaniq	Sanatan & Vedic	cover-local	lyrics-ready	32	_radio_index/suno_backup/lyrics/2026-05-24_bcb08d50_हनु-मान् हनु.txt
sanaatana-vedic-frequency	Sanaatana Vedic Frequency	31cd60d6-6b7d-4e15-9847-9c3866d60440	जुग सहस्र जोजन पर भानू	Sanskrit	sanaatana-vaigyaniq	Sanatan & Vedic	cover-local	lyrics-ready	29	_radio_index/suno_backup/lyrics/2026-05-24_31cd60d6_चक्र-इंजन शंखनाद.txt
sanaatana-vedic-frequency	Sanaatana Vedic Frequency	7333a108-d5a5-4cf4-9e36-6ce6aec10997	Chhat-Chhat Sanaatana	English	gurukul	Other / Misc	cover-local	lyrics-ready	14	_radio_index/suno_backup/lyrics/2026-05-24_7333a108_Chhat-Chhat Sanaatana.txt
sanaatana-vedic-frequency	Sanaatana Vedic Frequency	1fe3b620-3a18-4632-b128-12c1b2245f47	Hyper-dynamic Indian electronic folk-pop	English	sanaatana-vaigyaniq	Sanatan & Vedic	cover-local	lyrics-ready	14	_radio_index/suno_backup/lyrics/2026-05-24_1fe3b620_Chhat-Chhat Sanaatana.txt
sanaatana-vedic-frequency	Sanaatana Vedic Frequency	83db2f7e-ae48-418d-9587-c807af8e24e3	चक्र-इंजन शंखनाद	Sanskrit	sanaatana-vaigyaniq	Sanatan & Vedic	cover-local	lyrics-ready	29	_radio_index/suno_backup/lyrics/2026-05-24_83db2f7e_चक्र-इंजन शंखनाद.txt
sanaatana-vedic-frequency	Sanaatana Vedic Frequency	9b8b2f04-0e8b-4270-af63-84bd21bb7574	```text	English	sanaatana-vaigyaniq	Sanatan & Vedic	cover-local	lyrics-ready	41	_radio_index/suno_backup/lyrics/2026-05-24_9b8b2f04_द सनातन एक्सप्रेस.txt
sanaatana-vedic-frequency	Sanaatana Vedic Frequency	1f6a6bc0-d85f-4858-b13d-776e839401cf	द सनातन एक्सप्रेस	Sanskrit	sanaatana-vaigyaniq	Sanatan & Vedic	cover-local	lyrics-ready	41	_radio_index/suno_backup/lyrics/2026-05-24_1f6a6bc0_द सनातन एक्सप्रेस.txt
sanaatana-vedic-frequency	Sanaatana Vedic Frequency	832210ad-c382-4ee4-8099-264df30ef06c	ताल: आदि तीव्र	Sanskrit	sanaatana-vaigyaniq	Sanatan & Vedic	cover-local	lyrics-ready	128	_radio_index/suno_backup/lyrics/2026-05-24_832210ad_काली-कलम-का.txt
sanaatana-vedic-frequency	Sanaatana Vedic Frequency	58a470f5-a299-4fb9-b539-f879df9db3c0	🎵 ka kaa rahasya niraalaa	English	sanaatana-vaigyaniq	Sanatan & Vedic	cover-local	lyrics-ready	99	_radio_index/suno_backup/lyrics/2026-05-24_58a470f5_कागद काली कलम.txt
sanaatana-vedic-frequency	Sanaatana Vedic Frequency	d85bffd9-6420-4844-bef4-34a1ed0cfffd	🎵 क का रहस्य निराला	Sanskrit	sanaatana-vaigyaniq	Sanatan & Vedic	cover-local	lyrics-ready	83	_radio_index/suno_backup/lyrics/2026-05-24_d85bffd9_काली कलम.txt
sanaatana-vedic-frequency	Sanaatana Vedic Frequency	c086c759-c522-42a2-9718-bf85eb3d3dc7	ekla chalo re... nahi	English	sanaatana-vaigyaniq	Sanatan & Vedic	cover-local	lyrics-ready	131	_radio_index/suno_backup/lyrics/2026-05-24_c086c759_Ka Kau Question.txt
sanaatana-vedic-frequency	Sanaatana Vedic Frequency	f090d601-40e5-4874-b303-4bc84220564c	ka kau ke	English	sanaatana-vaigyaniq	Sanatan & Vedic	cover-local	lyrics-ready	51	_radio_index/suno_backup/lyrics/2026-05-24_f090d601_Kaa Rahasya.txt
